0,15
15,20
20,199
199,194
194,189
189,194
194,16
16,21
21,198
198,193
193,17
17,22
22,192
192,197
197,16
16,21
21,192
192,197
197,12
12,17
17,188
188,193
193,10
10,15
15,1
1,6
6,10
10,15
15,188
188,193
193,21
21,26
26,176
176,181
181,171
171,176
176,25
25,30
30,7
7,12
12,188
188,193
193,7
7,12
12,15
15,20
20,187
187,192
192,18
18,23
23,191
191,196
196,17
17,22
22,172
172,177
177,25
25,30
30,176
176,181
181,197
197,192
192,15
15,20
20,172
172,177
177,8
8,13
13,185
185,190
190,24
24,29
29,176
176,181
181,168
168,173
173,20
20,25
25,189
189,194
194,15
15,20
20,17
17,22
22,171
171,176
176,42
42,47
47,11
11,16
16,199
199,194
194,21
21,26
26,188
188,193
193,5
5,10
10,199
199,194
194,168
168,173
173,11
11,16
16,13
13,18
18,187
187,192
192,12
12,17
17,189
189,194
194,170
170,175
175,26
26,31
31,197
197,192
192,11
11,16
16,187
187,192
192,171
171,176
176,24
24,29
29,178
178,183
183,45
45,50
50,192
192,197
197,7
7,12
12,52
52,57
57,79
79,84
84,62
62,67
67,71
71,76
76,129
129,134
134,76
76,81
81,136
136,141
141,79
79,84
84,132
132,137
137,79
79,84
84,135
135,140
140,78
78,83
83,63
63,68
68,125
125,130
130,72
72,77
77,128
128,133
133,71
71,76
76,130
130,135
135,76
76,81
81,131
131,136
136,76
76,81
81,65
65,70
70,128
128,133
133,70
70,75
75,129
129,134
134,73
73,78
78,127
127,132
132,78
78,83
83,135
135,140
140,76
76,81
81,132
132,137
137,76
76,81
81,43
43,48
48,181
181,186
186,19
19,24
24,191
191,196
196,168
168,173
173,22
22,27
27,173
173,178
178,42
42,47
47,181
181,186
186,13
13,18
18,170
170,175
175,43
43,48
48,0
0,5
5,2
2,7
7,199
199,194
194,10
10,15
15,189
189,194
194,52
52,57
57,17
17,22
22,25
25,30
30,177
177,182
182,46
46,51
51,196
196,191
191,19
19,24
24,177
177,182
182,43
43,48
48,10
10,15
15,184
184,189
189,10
10,15
15,52
52,57
57,18
18,23
23,171
171,176
176,41
41,46
46,194
194,199
199,2
2,7
7,168
168,173
173,19
19,24
24,178
178,183
183,43
43,48
48,1
1,6
6,9
9,14
14,17
17,22
22,19
19,24
24,197
197,192
192,8
8,13
13,187
187,192
192,36
36,41
41,72
72,77
77,127
127,132
132,77
77,82
82,64
64,69
69,124
124,129
129,69
69,74
74,129
129,134
134,72
72,77
77,125
125,130
130,71
71,76
76,127
127,132
132,76
76,81
81,129
129,134
134,71
71,76
76,128
128,133
133,74
74,79
79,66
66,71
71,127
127,132
132,75
75,80
80,131
131,136
136,78
78,83
83,60
60,65
65,121
121,126
126,67
67,72
72,125
125,130
130,70
70,75
75,125
125,130
130,74
74,79
79,131
131,136
136,75
75,80
80,136
136,141
141,150
150,155
155,148
148,153
153,190
190,195
195,52
52,57
57,20
20,25
25,175
175,180
180,42
42,47
47,12
12,17
17,186
186,191
191,13
13,18
18,171
171,176
176,22
22,27
27,174
174,179
179,44
44,49
49,197
197,192
192,109
109,114
114,52
52,57
57,25
25,30
30,168
168,173
173,5
5,10
10,13
13,18
18,173
173,178
178,45
45,50
50,196
196,191
191,41
41,46
46,177
177,182
182,34
34,39
39,73
73,78
78,126
126,131
131,78
78,83
83,128
128,133
133,69
69,74
74,126
126,131
131,76
76,81
